Регион;Удельный вес организаций, использовавших персональные компьютеры;Удельный вес организаций, использовавших Интернет ;Объем оказанных населению услуг связи ;Число абонентских устройств подвижной радиотелефонной (сотовой) связи ;Удельный вес занятых в секторе ИКТ ;Внутренние затраты на научные исследования и разработки;Разработанные передовые производственные технологии;Используемые передовые производственные технологии;Исследование и разработка новых продуктов, услуг и методов их производства (передачи), новых производственных процессов;Разработка и приобретение программ для ЭВМ и баз данных, связанных с инновационной деятельностью;Инвестиции в основной капитал;Оборот розничной торговли ;Среднемесячная номинальная ЗП;Доля продукции высокотехнологичных и наукоемких отраслей в валовом региональном продукте;Индекс производительности труда
Пермский край;97;89.9;4443;1634.8;43862;9489.2;18;4392;8579648.6;7796820.9;162241;152587;21820.9;43859;101.4
Кировская область;88.1;78.2;4243.5;1610.1;43862;1095.9;;2228;980893.1;812303.3;50545;99190;16932.3;44102;103.9
Нижегородская область;96.9;92.5;6849.5;1741.6;44013;44524;67;11092;22449127.1;30119199.9;257454.1;146559;20958.8;44072;104.1
Оренбургская область;99;94.2;4197.2;1675.9;43831;565.3;2;751;1003420.4;3431898.3;151250.2;105992;19270.8;43962;102.3
Пензенская область;95.9;85.1;4236.6;1725.7;43952;3987;24;1206;2103041.3;1224074.8;72342.9;102798;19126.2;43974;106.5
Самарская область;87.9;81.7;5132.7;1849.7;43832;17601.1;19;6688;44502069;14967680.2;213021.8;156220;20799.9;43948;105.1
Саратовская область;95.9;86.2;4319.5;1701.3;43952;3020.7;21;4630;1056365;7431520;117645.8;97340;18803.3;43914;106.3
Ульяновская область;90.9;87;4738.6;1735.9;44044;8551.6;25;1798;596988.9;1170179.5;72984.6;103846;17107.4;43918;102
Курганская область;97.8;93.4;4068.7;1581.4;43952;298.6;6;966;413161.9;464574.8;36212.6;98070;17180.3;43854;98.7
Свердловская область;97.8;93;5372.1;1810;43922;17499.5;74;10704;7482790.9;18847216.1;351637.3;199179;25138.8;43883;107.3
Тюменская область;94.8;90.6;8810.7;2009.8;43891;8964.9;8;7242;10637808.5;13185592.7;1456957.3;187416;47177.3;7;98.8
ХантыМансийский авт.округ  Югра;96.9;92.5;9339.9;2041.1;43952;3081.6;2;1839;7011266.9;12272947.7;671089.4;192753;50841.3;43896;97.3
ЯмалоНенецкий авт.округ;93.9;89.8;10976.7;2464.6;43983;76.4;1;3920;306039.9;602731.4;581009.7;201376;63696.3;43895;100.6
Тюменская область без авт. округов;;;7354.5;1796.1;0.9;5806.8;5;1483;;;;;28578;44024;101.2
Челябинская область;92.1;85.8;4396.1;1759.5;2;13657.3;56;5808;7627237.5;26204724.1;192816.4;133717;22500.5;43972;102.7
Республика Алтай;96;90.7;2178;1453.3;43922;80.7;;103;1808.6;105257.9;10741.8;75583;18264.6;43849;98.6
Республика Тыва;88.1;72.2;730.5;1468.8;43983;201;1;11;;2125;11677.5;48949;23100.7;43949;103.4
Республика Хакасия;97.8;91.7;5475.1;1845.7;43831;72.5;;334;10097.9;15411.1;38130.6;106164;22238.5;43965;105.4
Алтайский край;88.3;76;3903.4;1347.1;0.7;1174.2;1;1709;566910.5;2228233.2;83853.2;105754;23466.5;43911;101.5
Красноярский край;94.1;83.2;5344.3;1646.8;1;11109.5;38;2261;6102218.6;13329632.4;381657.4;149112;16009.7;43905;105.1
Иркутская область;97.3;90.3;5162.3;1761.6;43952;4897.7;53;977;1349175.7;3484650.7;177641.4;103165;24218.5;44092;108.6
Кемеровская область;97.1;91.6;4213.4;1725.1;1;1027;11;2117;90347.9;8164239;267811.5;115686;28672.4;43906;95.7
Новосибирская область;91.9;82.7;5377.3;1764.4;44045;16029.3;31;2538;1105497.2;2164082;162170;147816;25880.8;43944;98.7
Омская область;86.9;79;4104.9;1802.6;43952;3226.5;11;2698;1827456.8;5032796.4;108705.9;133668;23403.2;43967;101.6
Томская область;90.1;85.2;4506;1749.3;44013;8206.7;3;1878;3454643;2639619.8;108304.4;99139;23245.8;44094;103.1
Республика Бурятия;93;84.2;4227.8;1484.5;0.8;727.9;2;297;14929.9;1071672.6;41184.5;116893;26725.4;43854;100.4
Республика Саха (Якутия);92.9;75.1;7455;1430.8;43891;2152.8;2;880;319409.2;1728884.3;205205.5;135106;33584;43994;103
Забайкальский край;100;89.6;5050.5;1368.5;0.7;258.7;;974;4811.5;253337.2;67595.8;105860;39915.6;43972;101.7
Камчатский край;97.1;91.8;10615.2;1956.4;43952;1200.8;1;129;305978;573175.6;36138.2;125603;43551.9;43879;102.3
Приморский край;90.8;85.7;7010.2;1774.8;43891;5136;11;1204;72875.3;7415323.1;203189.2;110100;27444.6;43907;93.3
Хабаровский край;99.2;94.6;7573.2;1840.2;44044;1326.5;1;2144;248484.5;2539492.9;179907.2;137596;31076.1;44000;100.8
Амурская область;86;76.7;6301.6;1714.6;43952;449.8;;342;2722351.6;1151648.3;113083.9;127200;26789;44056;98.7
Магаданская область;95.6;88.8;10270.9;2008.1;0.8;843.4;7;513;170855.8;279895.3;27571.1;126320;49667.3;17;103.7
Сахалинская область;94.5;90.5;10196;1603;43952;903.4;3;478;23375.2;20758572.4;164027.8;209149;44207.6;44080;98
Еврейская авт.область;92.4;79.3;3506.2;1433.7;0.8;97.1;;120;10304.1;45994;24946.2;98243;25067;43934;102.1
Чукотский авт.округ;98.2;87.4;9267.5;1455.9;43952;34.9;;;400;57310;17283.8;113267;60807.4;43844;103.3
