Регион;Удельный вес организаций, использовавших персональные компьютеры;Удельный вес организаций, использовавших Интернет ;Объем оказанных населению услуг связи ;Число абонентских устройств подвижной радиотелефонной (сотовой) связи ;Удельный вес занятых в секторе ИКТ ;Внутренние затраты на научные исследования и разработки;Разработанные передовые производственные технологии;Используемые передовые производственные технологии;Исследование и разработка новых продуктов, услуг и методов их производства (передачи), новых производственных процессов;Разработка и приобретение программ для ЭВМ и баз данных, связанных с инновационной деятельностью;Инвестиции в основной капитал;Оборот розничной торговли ;Среднемесячная номинальная ЗП;Доля продукции высокотехнологичных и наукоемких отраслей в валовом региональном продукте;Индекс производительности труда
Ярославская область   ;94.9;85.8;4010;1685;43952;3179.1;5;3267;324260.7;6659766.6;72290.5;82640;16075.8;44005;104.5
г. Москва;100;98.5;10794;2128.4;43893;194439.2;205;20021;9790156;4087069;732760.6;251484;38410.5;44033;101.2
Республика Карелия;98.5;93.7;3419.2;1739.2;44075;568.1;;751;;2057389.6;22798.2;92981;20056;43971;104.9
Республика Коми;81.7;71.3;5434.3;1792.8;43891;1577.7;1;550;132304.4;209195.8;112313.5;122012;26139.8;43871;103
Архангельская область;96.9;87.4;3615.7;1790.8;43831;724.5;7;1298;9726;521897;99686;99898;22192.1;44057;101.2
в том числе Ненецкий авт.округ;96.5;82.2;428;;43862;39.9;;15;;849.3;42565.1;117064;47349.4;43954;97.7
Архангельская область без авт. округа;;;3728.6;;1;684.6;7;1283;;;;;20475;43852;
Вологодская область;95.8;76.5;2629.1;1740.9;1;286.8;1;3209;132460.9;2104993.5;68569.5;70931;18536.4;43910;105
Калининградская область;91.8;82;4458.8;1898.2;43833;1184.8;1;916;3000;160829;55877.1;96331;18455.4;43850;106.5
Ленинградская область;97.3;90.8;;;43952;4400.2;7;913;53847.1;4708920.8;278863.9;99073;20768.3;15;104.8
Мурманская область;97.6;84.7;4614.8;2246.1;1;2006.6;;1112;110900.8;2234016;38610.6;129078;29307.8;43880;99.9
Новгородская область;98.3;89.8;2856.7;1852.9;43983;708.6;4;1680;248548.1;667470.2;39454.2;93969;16750.8;43913;102
Псковская область;92.4;83.5;3171.4;1671.1;44075;57.1;;1609;34599.8;68571.7;16695.4;85525;14498.2;43971;104.1
г.СанктПетербург;98.6;96;9441;2101.3;44076;59222.8;127;4584;6056351.6;10342461.2;401536.7;140782;27189.5;43920;104.7
Республика Адыгея;99.6;88;1800.6;1072.4;0.7;59.7;;120;;140949.7;14035.8;83258;12787.4;15;104.4
Республика Калмыкия;98.1;90.5;2031;1571;44075;62.7;;6;;;6970.5;33936;11601;43909;95.6
Республика Крым;;0;0;0;0;0;0;0;0;0;0;0;0;0;
Краснодарский край;97.5;87.7;4561.5;1859.1;43862;3260.3;6;2159;10378.9;485989.1;589623;123759;16329.9;43844;104.9
Астраханская область;86.8;76.8;4388.9;1885.1;43831;369.5;11;551;425332.1;152012;59863;99265;16582.1;43967;101.7
Волгоградская область;87.5;73.8;3588.5;1681.8;43922;2606.6;1;2243;50029.7;2080617.1;78430.9;86370;14856.1;44029;103.9
Ростовская область;89.5;78.9;3935.7;1503.6;43862;6668.4;9;2664;1356709.8;1138525;159038.4;108438;15243.9;20;106.6
г. Севастополь;;0;0;0;0;0;0;0;0;0;0;0;0;0;
Республика Дагестан;98.4;94.7;2950.1;1080.6;0.7;674.4;7;1793;3884;21714.6;120653.4;109704;10243.5;44024;102.7
Республика Ингушетия;94.9;71.8;2991.8;1250.9;0.8;44000;;;;;7452.4;20131;12855.3;44067;100.5
КабардиноБалкарская Республика;100;91.6;3479.3;1198.2;0.4;436.2;3;192;150965;52415.9;20958.2;73121;11663.2;44000;105.6
КарачаевоЧеркесская Республика;76.3;65.4;3362.1;1335.6;43891;268.5;;70;3111;99454;9140;58127;11345.6;19;100.3
Республика Северная Осетия  Алания;87.4;80.3;4469.7;1173.7;43923;231.9;;18;38250.7;44059.8;16203.9;76353;11817.6;43846;105.7
Чеченская Республика;100;69.7;3615.7;1045.9;0.2;110.7;;298;;;50369.4;43982;13918.7;44000;95.8
Ставропольский край;99.2;93.6;3942.4;1442.6;44044;899.5;;911;145601.3;5450715.4;88635;98634;13949;43884;101.9
Республика Башкортостан;98.2;94.7;3333.6;1481.8;43862;4083;4;5673;118181.2;2128481;153625;125820;16377.7;43971;104.7
Республика Марий Эл;93;76.8;2557.4;1470.9;44013;124.9;;703;;83653.1;22304.2;62552;12650.6;44096;106.7
Республика Мордовия;88.3;80.7;3620.3;1462.3;43891;520.5;8;2627;111915.8;509071.9;40778.2;57891;11883.1;43851;105
Республика Татарстан;98.4;95.4;4105.8;1577.2;43831;6447.9;17;4076;2678186.7;5512128.3;328943.9;120020;17350.1;43972;103.9
Удмуртская Республика;95;84;3192.9;1567.6;43953;457.7;3;4710;255575.3;1916709.2;51148.1;76726;14291.1;43943;104.5
Чувашская Республика;94.2;87.8;2398.2;1706.1;0.8;647.8;8;2294;656709;761718.5;42611.6;65624;13004.4;27;103.7
Пермский край;93;81.4;4036.4;1566.1;1;7428;15;5182;2213892.2;4699185.8;139652.2;119704;17438.3;44101;108
Кировская область;89.7;73.9;3419.1;1456;0.9;849.7;;1985;97884.1;336000.2;34553.5;71056;13292.6;44007;106.5
Нижегородская область;98.2;92;5871.2;1555.9;43952;31361.4;37;14637;4246171.1;10027882.5;192072.4;105735;16327.6;44101;107.8
Оренбургская область;99.4;86;3604.7;1564.4;0.9;487.4;5;694;319165.8;3707908;103648.2;77418;15199.6;44054;104.3
Пензенская область;93.2;78.5;3579.4;1501.5;43862;2497.3;4;1225;350776.5;1792972.3;45677.9;81774;14423.6;43945;102.1
Самарская область;96.6;88.7;4513;1802.1;44075;12517.6;19;6189;390783.6;3354781;154422.8;131609;16479.4;43887;105.8
Саратовская область;94.4;80.8;4018.9;1572.6;44013;2365.3;17;5911;433016.8;2642189.2;80040.8;72797;14554;43853;101.4
Ульяновская область;90.6;82.8;4424.6;1491.7;44044;5154.1;5;1488;167313.3;849523.7;47993.4;79998;13339;44071;102.6
Курганская область;99.7;89.5;3285.1;1413;44013;213.5;;836;178504.1;388253;25572.9;79342;13227.9;44006;97.7
Свердловская область;97;86.8;4537.9;1664.4;43952;12712.1;52;13246;2271023.7;14053877;264461.6;150137;19756.7;23;111
Тюменская область;94.8;87.9;7920.8;1807.2;43952;7609.5;11;8180;6362034.9;15315295.6;1049693.3;153108;38212.7;43989;104.5
ХантыМансийский авт.округ  Югра;95.7;89.9;8812.4;1822.3;44044;2289.3;;1495;6187676.4;12152982.2;507172.1;166031;41314.6;44080;101.8
ЯмалоНенецкий авт.округ;97.7;92.9;9362.2;2159.3;43983;43836;1;3628;168457.4;2923303.9;387695.6;166879;52618.8;6;107.6
Тюменская область без авт. округов;;;6337.1;1652.3;0.9;5314.1;10;3057;;;;;22247;44024;
Челябинская область;93.6;85.1;3823.5;1696.9;44013;8906.8;37;5154;6611104.3;28572078.2;151121.5;107344;17370.2;43941;104.6
Республика Алтай;96.7;83.6;2130;1231.2;43862;62.8;;27;;48716.8;9522.1;58738;14235.8;43910;101.3
Республика Тыва;99.7;68;691.6;1230.9;43922;156.5;;4;;57997;7235.6;38512;17999.7;43889;102.4
Республика Хакасия;99.2;91.6;5024.5;1994.1;43891;59.3;;347;3170.7;9746;22109.1;69260;17530;43935;102.5
Алтайский край;88.8;70.2;3557.8;1267.4;1;809.6;3;1457;137024.5;616393.1;54579.7;74411;18358.4;43877;102.9
Красноярский край;90;72.3;4782.7;1720.9;43862;7087.9;6;1937;1746856.5;8339283.8;266909.7;110312;12050.7;43964;105.1
Иркутская область;97.4;81.1;4406.1;1635.3;43891;3493.9;10;1031;2410345;4985587.3;119394.9;81043;18684.5;43881;107
Кемеровская область;97.4;90.7;3652.5;1426.9;1;771.6;7;1681;66654.3;1184428.4;156518.5;93591;23254.2;43844;102
Новосибирская область;88.4;75.4;4543.6;1286.5;43892;12270.4;23;2483;216072.5;2182385.7;115014.7;117111;20475.6;43978;101.9
Омская область;87.1;72.1;3416.6;1584.3;44044;2676;4;4165;938884.7;8366538.5;73196.1;93537;18027.8;43998;102.6
Томская область;99.4;96.7;4131.1;1212.9;43922;5869.6;6;1818;635441.9;585944.6;77598.1;78979;18229.7;43974;101.7
Республика Бурятия;97.5;80.8;3370.6;1343.4;1;467.1;5;383;6418;314667.3;33568.7;88021;21450.2;43885;99.4
Республика Саха (Якутия);94.7;72.6;6845;1322.7;43922;1651.7;;494;195962.7;414702.2;130492.9;113866;25814.2;44056;101.7
Забайкальский край;99.7;76.8;3817.3;1292.4;0.8;145.3;;1006;39840.7;226941;44824.8;84899;28708;44061;103.9
Камчатский край;96.6;87.7;8910.3;1746.7;43952;1110.6;;171;;170156.1;32615.2;104339;35747.6;43969;99.2
Приморский край;87.5;80.3;6342.5;1920.5;43831;4100;3;1192;16745.5;407943.9;208208.6;90593;21888.7;43999;106.9
Хабаровский край;99.6;89.2;6538.4;1673.4;44044;1011.4;1;2347;328833;3452506.5;156438.8;107703;22656.5;43850;108
Амурская область;84.1;68.8;5126.2;1564.3;43952;352.8;;246;;490309.5;83892.1;80471;21207.5;43844;105.3
Магаданская область;95.8;85.9;8245.5;1708.6;43831;733.2;6;420;471141.9;559202.5;16808.7;93446;36582;44061;105
Сахалинская область;91.8;85.1;9181.8;1450.2;43922;731.5;;576;15493916.5;56730;135013.6;179332;35847.9;44020;108.1
Еврейская авт.область;90.9;72;3619.7;1285.9;0.6;35.5;;143;;68063.5;18810.7;84212;19718;43965;115.7
Чукотский авт.округ;98.7;80.6;8338.7;1084;43983;32.1;;;;14208;5418.7;113334;46865.7;44026;84
